,Sox2,Gata2,Gata1,Pu1,Klf1
cell_0,0.11577890038449537,0.0355976844380586,0.005245008475703064,0.0,0.01807975274547424
cell_1,0.0,0.050930600072356606,0.0,0.0,0.0
cell_2,0.0,0.0,0.0,0.0,0.0
cell_3,0.10166245509247086,0.0,0.0,0.0,0.0
cell_4,0.1994188551984878,0.0,0.017575506122702065,0.04517351170064152,0.0047006148880437285
cell_5,0.09616953223304825,0.0,0.0,0.01100975879155355,0.0
cell_6,0.12516322359397963,0.0,0.027042281852341463,0.010732958743368123,0.01776863545199607
cell_7,0.10523692952021377,0.0,0.03919877612111756,0.07467155987908912,0.0
cell_8,0.0,0.07087032310500972,0.03906557265307246,0.013222784134516255,0.0
cell_9,0.21552926250325782,0.10184474675408543,0.0,0.06575519085476958,0.0178690205329478
cell_10,0.0,0.0038813576317258207,0.032823749371867876,0.0,0.019756103009100412
cell_11,0.1689384515717564,0.039196414197870816,0.0,0.0,0.0
cell_12,0.09140797667563862,0.0,0.0,0.016448484091061182,0.0
cell_13,0.23155422200727271,0.0,0.0,0.0,0.0026014487129943256
cell_14,0.1890772215388568,0.05558196758501086,0.0,0.09110057078446725,0.0
cell_15,0.0,0.05250990251463512,0.0024527333093166616,0.10011963180031384,0.00942595962562328
cell_16,0.12834784532003662,0.0,0.0,0.0,0.031520574538411596
cell_17,0.19166837587008972,0.07130566768946617,0.0,0.08445537607159778,0.0
cell_18,0.24396332536768267,0.0,0.0,0.012489273117104942,0.0
cell_19,0.0,0.0,0.0,0.0,0.025134142493743284
cell_20,0.0,0.0,0.0,0.043652115462205786,0.0
cell_21,0.13767074154841563,0.03960368728392478,0.0,0.019318490145136848,0.0
cell_22,0.18154310663987072,0.0,0.010105733195448755,0.03470861027860117,0.0
cell_23,0.24991395630310798,0.0,0.04218665069547333,0.058243216635861336,0.03937941108529347
cell_24,0.22388535809258855,0.01415856874619483,0.0,0.0,0.0
cell_25,0.0,0.02398578077365524,0.0,0.0,0.0
cell_26,0.20082820420022227,0.029722169650589554,0.0,0.0,0.05209198796064111
cell_27,0.26043007554189035,0.0,0.0,0.06143423673002852,0.016981000412432133
cell_28,0.21444597449959793,0.03193311536404253,0.01913792398560345,0.01597077698468445,0.0
cell_29,0.0,0.008788364896731118,0.0,0.05400825624233884,0.0
cell_30,0.20340577412206567,0.0,0.0,0.0,0.0
cell_31,0.21730036753657406,0.010808980641556696,0.0,0.0,0.0
cell_32,0.1904522612308418,0.0,0.0,0.09082398270614882,0.0
cell_33,0.21275904702851817,0.0,0.08236719299885822,0.04587463885326795,0.053346743350258956
cell_34,0.21393962744883813,0.06518708852184246,0.018547650759130906,0.030659762897360707,0.0
cell_35,0.14102079713237292,0.07200195364961688,0.0,0.0,0.0
cell_36,0.16576269136071092,0.0,0.0,0.0,0.025992086548882062
cell_37,0.19729854724049123,0.09262247682275968,0.017573410619591195,0.0,0.0
cell_38,0.15899292707951185,0.0789307158739948,0.0,0.0,0.0
cell_39,0.1635324819506896,0.0,0.0,0.02931794248008416,0.0
cell_40,0.20030965416594754,0.0,0.03646884914013029,0.040308346864988555,0.0
cell_41,0.0,0.0,0.0,0.06889930838566449,0.0
cell_42,0.35322352774489496,0.0,0.029016465923793703,0.0,0.028290892341404656
cell_43,0.24075390451038722,0.0,0.0,0.15330469550808873,0.0
cell_44,0.14372163153818848,0.0,0.033905620748956006,0.0,0.06802231012426288
cell_45,0.2981457862355724,0.029228772854234038,0.0,0.0,0.0
cell_46,0.0,0.09919564798259113,0.0795408885147925,0.0,0.0
cell_47,0.0,0.0,0.0,0.0,0.0648457699900262
cell_48,0.2413412128066752,0.0,0.0,0.0,0.009960899150692851
cell_49,0.24311921299833805,0.1736416719967943,0.0,0.0,0.010095500098005496
cell_50,0.263902652307337,0.10191651630484488,0.0,0.040250726356638004,0.042637423528714566
cell_51,0.23611559558057127,0.059464960910734554,0.0,0.0,0.0
cell_52,0.25053215604634266,0.0,0.0,0.0,0.0
cell_53,0.24637770059860134,0.0,0.0,0.0,0.13779037791379756
cell_54,0.3327104499224012,0.0,0.0,0.0,0.0
cell_55,0.28616089765928643,0.026204039290663624,0.0,0.07116507914650422,0.022584272564754797
cell_56,0.2695021348264868,0.055766822689532786,0.0,0.0,0.0057830913546312954
cell_57,0.0,0.020190813943487408,0.0,0.0,0.0
cell_58,0.22421730071531784,0.10599407788454038,0.03780770106592928,0.0,0.028119883864647963
cell_59,0.285244217710232,0.09289770974402506,0.0,0.04175554671549281,0.0
cell_60,0.3356030864775188,0.10974068593335931,0.0,0.013168852925758706,0.0
cell_61,0.30034966037394506,0.05444799127816088,0.0029382118676260682,0.02077583337836506,0.0
cell_62,0.288516962027436,0.0,0.0,0.0517176807247866,0.008840623186526234
cell_63,0.27547763008800136,0.0,0.0,0.03401202885939718,0.017395088098523578
cell_64,0.0,0.044335575677961245,0.015404286354773873,0.04818776202181693,0.0
cell_65,0.0,0.08548219416177345,0.0,0.0,0.014702107148749012
cell_66,0.2524023191859196,0.0,0.0,0.018409996709964734,0.0
cell_67,0.348030484535207,0.0,0.06004456423205654,0.0,0.0
cell_68,0.3479445215215701,0.19301652538881742,0.014622994322071488,0.0,0.0
cell_69,0.33077322354818356,0.12444475020970497,0.08540194129631781,0.0,0.0
cell_70,0.4458786197271835,0.0,0.0,0.07480365141663081,0.0
cell_71,0.33039862707619694,0.0,0.04353422769418257,0.050956598897879374,0.0
cell_72,0.4529481115981121,0.0,0.0,0.0,0.0
cell_73,0.363474125668625,0.11717080559966504,0.0,0.04245141690722176,0.018228367191316174
cell_74,0.34188337755314735,0.1927898619850152,0.07064713941385968,0.0,0.0
cell_75,0.4130750170473279,0.0,0.0,0.06086311393533187,0.0
cell_76,0.29634393325165953,0.12633038751371994,0.0,0.0,0.0
cell_77,0.0,0.14570484093366637,0.0,0.02231904412476591,0.039744553399161074
cell_78,0.35506569639610147,0.17361915755306617,0.0,0.03127950469284918,0.004452801936961349
cell_79,0.0,0.0,0.0,0.027825222293301408,0.0
cell_80,0.4171473026690893,0.12711664307140608,0.1126335092553189,0.0,0.04599036302825296
cell_81,0.33639061984498186,0.26438552013349587,0.0,0.01586539449108972,0.0
cell_82,0.4519823374147276,0.19873701510567432,0.0,0.0,0.00918561615448155
cell_83,0.3794434238502689,0.0,0.0,0.003718306210059778,0.0
cell_84,0.4752182052984068,0.28541990378990545,0.0,0.11849645911331447,0.0
cell_85,0.3537185760188035,0.23194394647410113,0.06925903413697668,0.0,0.09756125388809375
cell_86,0.0,0.2960846958408814,0.045225745217450895,0.010299773670744028,0.05402664893857694
cell_87,0.34477661858054665,0.32501783470112283,0.017846680805614946,0.0,0.03745870240974293
cell_88,0.47738800987017366,0.0,0.12447336593933828,0.0,0.06417533164297382
cell_89,0.0,0.2804401740489868,0.05660246748227199,0.027566228344110173,0.015081761720031936
cell_90,0.0,0.32651137708866024,0.02786712696692134,0.0,0.0
cell_91,0.39380246691251863,0.3522289200075864,0.03380780256827799,0.07738110528400512,0.0
cell_92,0.34618327939842647,0.2505730790668375,0.10109768380299686,0.09717022792896532,0.016601931616353368
cell_93,0.4077035958488035,0.3060146911000594,0.03531118199299126,0.03295058347142295,0.0
cell_94,0.4096535179536297,0.31267396147539744,0.13320723995387743,0.06542309986232547,0.0
cell_95,0.4376190302396427,0.3192581915304627,0.0,0.08854420905299534,0.027354804191330327
cell_96,0.0,0.0,0.07892949922390262,0.03894582142442584,0.0
cell_97,0.0,0.3342988367353504,0.15173326342802596,0.08407282262953394,0.0
cell_98,0.4787574657615803,0.37235170835337356,0.060820494992595044,0.1517955633588507,0.0
cell_99,0.4658028108484622,0.4047024290839278,0.03933988829975604,0.12432775948335895,0.06464539151706848
cell_100,0.5039941889477301,0.29695915703169307,0.08245729460020618,0.18048919429062887,0.014918478006865033
cell_101,0.4856618135419249,0.41357764263979324,0.16850681154804303,0.09704456005274223,0.0
cell_102,0.49815755592360456,0.0,0.14034314133675757,0.2119348170587353,0.0
cell_103,0.5922145185095838,0.0,0.07685631221721241,0.1555246589174135,0.017153636345286435
cell_104,0.4627191448130653,0.3847134776821231,0.16708163057514291,0.2159982144673726,0.0
cell_105,0.5969899138884758,0.4463505909812117,0.1911009281192372,0.26884871114806397,0.03139951417887907
cell_106,0.5290226873235955,0.0,0.30497979391592567,0.2551465652221272,0.0
cell_107,0.43661150224356504,0.4706139070284718,0.1758139700902125,0.0,0.0
cell_108,0.5344674889117246,0.5261023599028681,0.0,0.0,0.0
cell_109,0.5241985304080087,0.0,0.0,0.27903020289713293,0.0
cell_110,0.5050544746926817,0.49976591093899475,0.31242438614376006,0.23137392803726578,0.011217647215521107
cell_111,0.5191930538309889,0.39652500963258885,0.35930467392471904,0.2967718949011498,0.0
cell_112,0.0,0.5084342465742022,0.0,0.3278272810306201,0.031445931142191755
cell_113,0.0,0.5379225918075686,0.0,0.3337043213696349,0.05198017414180045
cell_114,0.0,0.5746052329652326,0.3163677299076312,0.339995974496877,0.08576768930708689
cell_115,0.5452552000678967,0.5124881300860191,0.0,0.0,0.1024869253369581
cell_116,0.0,0.5323631161290509,0.4129505018829852,0.41634056800808417,0.015427175643259287
cell_117,0.5215913438733143,0.0,0.3547643555874083,0.0,0.0
cell_118,0.5422417622057164,0.5603138926355676,0.3511536631315325,0.495730055596223,0.11583698272892748
cell_119,0.5231693491189845,0.49169174985775005,0.33936818178920375,0.4858783627634462,0.0
cell_120,0.5117124605320544,0.5650955007890888,0.5316059705050007,0.5169208061538046,0.2391040003476252
cell_121,0.5955763383754639,0.0,0.3468383428401551,0.0,0.25637070592419253
cell_122,0.0,0.584729579666091,0.0,0.0,0.24091193905882685
cell_123,0.473815546856496,0.0,0.41981510273817263,0.6366718288968883,0.0
cell_124,0.6047261136662985,0.0,0.4281507636912837,0.5415524712922468,0.23624691356276423
cell_125,0.6064118604578002,0.5317482951519106,0.3514290426628823,0.6232597208709786,0.25336567703199364
cell_126,0.6114581227273792,0.6900950474232573,0.3687909237787325,0.6349887518175539,0.3624657736393835
cell_127,0.0,0.0,0.3947221715109956,0.6210094776890118,0.2740044323913204
cell_128,0.6355237734972538,0.6138495640430298,0.2869120341305364,0.60850459965993,0.0
cell_129,0.6300196883664841,0.5887550264625997,0.292761746414934,0.0,0.22572546655326897
