,pseudotime
cell_0,0.0
cell_1,0.001669449081803005
cell_2,0.00333889816360601
cell_3,0.005008347245409015
cell_4,0.00667779632721202
cell_5,0.008347245409015025
cell_6,0.01001669449081803
cell_7,0.011686143572621035
cell_8,0.01335559265442404
cell_9,0.015025041736227046
cell_10,0.01669449081803005
cell_11,0.018363939899833055
cell_12,0.02003338898163606
cell_13,0.021702838063439065
cell_14,0.02337228714524207
cell_15,0.025041736227045076
cell_16,0.02671118530884808
cell_17,0.028380634390651086
cell_18,0.03005008347245409
cell_19,0.03171953255425709
cell_20,0.0333889816360601
cell_21,0.035058430717863104
cell_22,0.03672787979966611
cell_23,0.038397328881469114
cell_24,0.04006677796327212
cell_25,0.041736227045075125
cell_26,0.04340567612687813
cell_27,0.045075125208681135
cell_28,0.04674457429048414
cell_29,0.048414023372287146
cell_30,0.05008347245409015
cell_31,0.05175292153589316
cell_32,0.05342237061769616
cell_33,0.05509181969949917
cell_34,0.05676126878130217
cell_35,0.05843071786310518
cell_36,0.06010016694490818
cell_37,0.06176961602671119
cell_38,0.06343906510851419
cell_39,0.0651085141903172
cell_40,0.0667779632721202
cell_41,0.06844741235392321
cell_42,0.07011686143572621
cell_43,0.07178631051752922
cell_44,0.07345575959933222
cell_45,0.07512520868113523
cell_46,0.07679465776293823
cell_47,0.07846410684474124
cell_48,0.08013355592654424
cell_49,0.08180300500834725
cell_50,0.08347245409015025
cell_51,0.08514190317195326
cell_52,0.08681135225375626
cell_53,0.08848080133555927
cell_54,0.09015025041736227
cell_55,0.09181969949916528
cell_56,0.09348914858096828
cell_57,0.0951585976627713
cell_58,0.09682804674457429
cell_59,0.0984974958263773
cell_60,0.1001669449081803
cell_61,0.10183639398998331
cell_62,0.10350584307178631
cell_63,0.10517529215358933
cell_64,0.10684474123539232
cell_65,0.10851419031719532
cell_66,0.11018363939899833
cell_67,0.11185308848080133
cell_68,0.11352253756260434
cell_69,0.11519198664440734
cell_70,0.11686143572621036
cell_71,0.11853088480801335
cell_72,0.12020033388981637
cell_73,0.12186978297161936
cell_74,0.12353923205342238
cell_75,0.12520868113522537
cell_76,0.12687813021702837
cell_77,0.1285475792988314
cell_78,0.1302170283806344
cell_79,0.1318864774624374
cell_80,0.1335559265442404
cell_81,0.13522537562604342
cell_82,0.13689482470784642
cell_83,0.13856427378964942
cell_84,0.14023372287145242
cell_85,0.14190317195325544
cell_86,0.14357262103505844
cell_87,0.14524207011686144
cell_88,0.14691151919866444
cell_89,0.14858096828046746
cell_90,0.15025041736227046
cell_91,0.15191986644407346
cell_92,0.15358931552587646
cell_93,0.15525876460767948
cell_94,0.15692821368948248
cell_95,0.15859766277128548
cell_96,0.16026711185308848
cell_97,0.16193656093489148
cell_98,0.1636060100166945
cell_99,0.1652754590984975
cell_100,0.1669449081803005
cell_101,0.1686143572621035
cell_102,0.17028380634390652
cell_103,0.17195325542570952
cell_104,0.17362270450751252
cell_105,0.17529215358931552
cell_106,0.17696160267111855
cell_107,0.17863105175292154
cell_108,0.18030050083472454
cell_109,0.18196994991652754
cell_110,0.18363939899833057
cell_111,0.18530884808013356
cell_112,0.18697829716193656
cell_113,0.18864774624373956
cell_114,0.1903171953255426
cell_115,0.19198664440734559
cell_116,0.19365609348914858
cell_117,0.19532554257095158
cell_118,0.1969949916527546
cell_119,0.1986644407345576
cell_120,0.2003338898163606
cell_121,0.2020033388981636
cell_122,0.20367278797996663
cell_123,0.20534223706176963
cell_124,0.20701168614357263
cell_125,0.20868113522537562
cell_126,0.21035058430717865
cell_127,0.21202003338898165
cell_128,0.21368948247078465
cell_129,0.21535893155258765
cell_130,0.21702838063439064
cell_131,0.21869782971619367
cell_132,0.22036727879799667
cell_133,0.22203672787979967
cell_134,0.22370617696160267
cell_135,0.2253756260434057
cell_136,0.2270450751252087
cell_137,0.2287145242070117
cell_138,0.2303839732888147
cell_139,0.2320534223706177
cell_140,0.2337228714524207
cell_141,0.2353923205342237
cell_142,0.2370617696160267
cell_143,0.23873121869782973
cell_144,0.24040066777963273
